((438999.9356706336, 7111600.49331287), (439100.04824702477, 7111600.49331287), (439100.04824702477, 7111500.290506468), (438999.9356706336, 7111500.290506468))
((437099.57649833814, 7143000.183622013), (437199.6890747293, 7143000.183622013), (437199.6890747293, 7142899.980815611), (437099.57649833814, 7142899.980815611))
((436999.908866731, 7142200.049331287), (437100.0214431221, 7142200.049331287), (437100.0214431221, 7142099.846524885), (436999.908866731, 7142099.846524885))
((437599.6944355098, 7142100.342578382), (437699.80701190094, 7142100.342578382), (437699.80701190094, 7142000.13977198), (437599.6944355098, 7142000.13977198))
((437099.57649833814, 7142500.161696997), (437199.6890747293, 7142500.161696997), (437199.6890747293, 7142399.958890595), (437099.57649833814, 7142399.958890595))
((437199.6890747293, 7142100.342578382), (437299.8016511204, 7142100.342578382), (437299.8016511204, 7142000.13977198), (437199.6890747293, 7142000.13977198))
((437799.9195882921, 7142100.342578382), (437900.0321646832, 7142100.342578382), (437900.0321646832, 7142000.13977198), (437799.9195882921, 7142000.13977198))
((437899.58721989923, 7142700.071256303), (437999.69979629037, 7142700.071256303), (437999.69979629037, 7142599.868449901), (437899.58721989923, 7142599.868449901))
((437799.9195882921, 7142400.454944091), (437900.0321646832, 7142400.454944091), (437900.0321646832, 7142300.252137689), (437799.9195882921, 7142300.252137689))
((437799.9195882921, 7142800.274062705), (437900.0321646832, 7142800.274062705), (437900.0321646832, 7142700.071256303), (437799.9195882921, 7142700.071256303))
((437699.80701190094, 7142100.342578382), (437799.9195882921, 7142100.342578382), (437799.9195882921, 7142000.13977198), (437699.80701190094, 7142000.13977198))
((437399.9142275115, 7142200.049331287), (437500.02680390264, 7142200.049331287), (437500.02680390264, 7142099.846524885), (437399.9142275115, 7142099.846524885))
((437899.58721989923, 7142500.161696997), (437999.69979629037, 7142500.161696997), (437999.69979629037, 7142399.958890595), (437899.58721989923, 7142399.958890595))
((437899.58721989923, 7143000.183622013), (437999.69979629037, 7143000.183622013), (437999.69979629037, 7142899.980815611), (437899.58721989923, 7142899.980815611))
((437099.57649833814, 7142700.071256303), (437199.6890747293, 7142700.071256303), (437199.6890747293, 7142599.868449901), (437099.57649833814, 7142599.868449901))
((437499.5818591187, 7142500.161696997), (437599.69443550985, 7142500.161696997), (437599.69443550985, 7142399.958890595), (437499.5818591187, 7142399.958890595))
((437399.9142275115, 7143000.183622013), (437500.02680390264, 7143000.183622013), (437500.02680390264, 7142899.980815611), (437399.9142275115, 7142899.980815611))
((437299.8016511204, 7142600.364503399), (437399.91422751156, 7142600.364503399), (437399.91422751156, 7142500.161696997), (437299.8016511204, 7142500.161696997))
((437399.9142275115, 7142800.274062705), (437500.02680390264, 7142800.274062705), (437500.02680390264, 7142700.071256303), (437399.9142275115, 7142700.071256303))
((437099.57649833814, 7142800.274062705), (437199.6890747293, 7142800.274062705), (437199.6890747293, 7142700.071256303), (437099.57649833814, 7142700.071256303))
((437899.58721989923, 7142900.476869107), (437999.69979629037, 7142900.476869107), (437999.69979629037, 7142800.274062705), (437899.58721989923, 7142800.274062705))
((437299.8016511204, 7142100.342578382), (437399.91422751156, 7142100.342578382), (437399.91422751156, 7142000.13977198), (437299.8016511204, 7142000.13977198))
((437699.80701190094, 7143000.183622013), (437799.9195882921, 7143000.183622013), (437799.9195882921, 7142899.980815611), (437699.80701190094, 7142899.980815611))
((437899.58721989923, 7142200.049331287), (437999.69979629037, 7142200.049331287), (437999.69979629037, 7142099.846524885), (437899.58721989923, 7142099.846524885))
((437399.9142275115, 7142600.364503399), (437500.02680390264, 7142600.364503399), (437500.02680390264, 7142500.161696997), (437399.9142275115, 7142500.161696997))
((437499.5818591187, 7142800.274062705), (437599.69443550985, 7142800.274062705), (437599.69443550985, 7142700.071256303), (437499.5818591187, 7142700.071256303))
((437199.6890747293, 7142800.274062705), (437299.8016511204, 7142800.274062705), (437299.8016511204, 7142700.071256303), (437199.6890747293, 7142700.071256303))
((437399.9142275115, 7142700.071256303), (437500.02680390264, 7142700.071256303), (437500.02680390264, 7142599.868449901), (437399.9142275115, 7142599.868449901))
((437299.8016511204, 7142400.454944091), (437399.91422751156, 7142400.454944091), (437399.91422751156, 7142300.252137689), (437299.8016511204, 7142300.252137689))
((437899.58721989923, 7142600.364503399), (437999.69979629037, 7142600.364503399), (437999.69979629037, 7142500.161696997), (437899.58721989923, 7142500.161696997))
((437799.9195882921, 7142700.071256303), (437900.0321646832, 7142700.071256303), (437900.0321646832, 7142599.868449901), (437799.9195882921, 7142599.868449901))
((436999.908866731, 7142300.252137689), (437100.0214431221, 7142300.252137689), (437100.0214431221, 7142200.049331287), (436999.908866731, 7142200.049331287))
((436999.908866731, 7143000.183622013), (437100.0214431221, 7143000.183622013), (437100.0214431221, 7142899.980815611), (436999.908866731, 7142899.980815611))
((437799.9195882921, 7142900.476869107), (437900.0321646832, 7142900.476869107), (437900.0321646832, 7142800.274062705), (437799.9195882921, 7142800.274062705))
((437799.9195882921, 7142200.049331287), (437900.0321646832, 7142200.049331287), (437900.0321646832, 7142099.846524885), (437799.9195882921, 7142099.846524885))
((437799.9195882921, 7142500.161696997), (437900.0321646832, 7142500.161696997), (437900.0321646832, 7142399.958890595), (437799.9195882921, 7142399.958890595))
((437599.6944355098, 7143000.183622013), (437699.80701190094, 7143000.183622013), (437699.80701190094, 7142899.980815611), (437599.6944355098, 7142899.980815611))
((437899.58721989923, 7142000.13977198), (437999.69979629037, 7142000.13977198), (437999.69979629037, 7141899.936965578), (437899.58721989923, 7141899.936965578))
((437099.57649833814, 7142600.364503399), (437199.6890747293, 7142600.364503399), (437199.6890747293, 7142500.161696997), (437099.57649833814, 7142500.161696997))
((437499.5818591187, 7142300.252137689), (437599.69443550985, 7142300.252137689), (437599.69443550985, 7142200.049331287), (437499.5818591187, 7142200.049331287))
